name,bio
Gore Abomination,"Abominations keep some parts of their true identity, although they have lost
most of their memories. Both heads can access the other's mind to know what
they think at all times.

When the God of Punishment is in a hurry to create more Abominations, the
result is usually a Gore Abomination. This creature has an unusual amount of
blood in it, which erupts from its body when it receives damage.
"
Goretongue Gargoyle,"Marette, the dean of the Magic University of Undolim, researched for decades
to find a way to give life to inanimate oktjects. Her prcject finally succeeded a
few years before the Unification War began.

The Magi of Undolim gave the Goretongue Gargoyle its name because of its
extraordinary ability. This creature has an exceptional control over magic: as
long as there is blood on its tongue, it is able to cast spells indefinitely.
"
Gorgon Gazer,"Many Gorgons have given up trying to integrate into society due to the
treatment they have received in Rodia, and they have established colonies in
the Cutthroat Jungle.

The Gorgon Gazer can predict her opponent's movements with her eyes,
though she needs to keep her concentration. They are also able to see in the
dark, so they are always assigned the night watches.
"
Gorgon Sorceress,"The Gorgons come from a country where the use of magic is restricted and
beyond the reach of non-humans.

Gorgon Sorceresses are the most well versed in magic of their kind, and they
have learned fast on account of the books they borrow from the Familiars of the
Cornell Tower. Thanks to their knowledge, they have learned to prolong their
enemies’ fear by just staring at them.
"
Gorgon Trickster,"When the genocide forced the Gorgons to abandon their home, the Trickster
earned Gonfurian's favor for devising a plan to deceive the human generals
and escape their lands. The only hope for her kind was to take over the naval
fleet, guarded by a fearsome garrison of warriors. She connected her essence
to her sisters’ and created the illusion of a meteor shower to make them flee in
disarray. The plan worked, but her boldness cost her her sight. Now she is the
undisputed leader of her people.
"
Gorgon Witch,"Like Gorgon Sorceresses, Witches have benefited from Rodia's lack of rules
restricting the use of magic. These Gorgons have managed to combine the
power of their gaze with that of Spell Gems, and they are able to utilize both at
once without difficulty. In their free time, they make copies of the magic books
borrowed from the Familiars, so they can return them and obtain new ones
completely free of charge.
"
Gorlum Tremor,"When the battle between Misery and the ruler of Siralim came to an end, this
creature emerged from the throne room in the ruins of Caedo's castle, where
they had fought their duel. This creature is visible even in the deepest
darkness. The earth trembles constantly around it even when it is not moving. If
it hits the ground with its hands, it can cause large-scale earthquakes that
shake buildings miles away from where it is.
"
Gorum Apocalypse,"The Goddess of Illusion knew perfectly well that trying to convince Torun to do
what she said was a complete waste of time. However, she would not let
Vulcanar get away with it as easily. Unbeknownst to Vulcanar, Yseros made
some madifications to the Gorum Apocalypses while they were being created.
Although their appearance is as fearsome as that of their sisters, the Gorum
devour any diseases and curses afflicting their allies as if they were an
afternoon snack.
"
Granite Golem,"Granite Golems hate Magi and everything related to them. Even though they
are quite loyal to their masters, it can be dangerous for a Mage to own one, as
their instincts can provoke the occasional outburst that usually results in
property damage. On the other hand, whenever a magical accident causes
damage to a town, this creature always appears to help rebuild it.
"
Grave Leper,"Centuries ago, the Death Magi of the Magic University of Nex developed a
complex ritual that madified the structure of a Leper. The result is a creature
that can literally absorb corpses through its skin. It can slightly increase its
power in this way, provided the corpses are fresh. After a while, the skeletons
of the absorbed creatures emerge from its body and fall off.
"
