name,description,material_name
Dark Aegis,Your creatures have 7% more Defense for each non-Ethereal Death Spell Gem each of your creatures have equipped. Maximum of 3 Spell Gems per creature. This trait does not stack.,Overseer Knife
Unholy Prayer,"At the start of battle, your creatures gain Murder of Crows. This spell deals damage 2 additional times.",Priest Knife
Sacrimony,Your creatures Cast Death spells as if they have 100% more Intelligence. This trait does not stack.,Shadowcaster Knife
Andrick's Empowerment,Your creatures deal 5% more damage for each minion each of your creatures have. This trait does not stack.,Andrick's Tarnished Crown
Andrick's Folly,"When your creatures gain a minion, the minion has 1 additional stack. This trait does not stack.",Andrick's Molding Tome
Andrick's Royal Decree,"After your creatures gain a minion, they also gain a random buff. This trait does not stack.",Andrick's Tattered Garb
Master of Liches,"After your Liches Cast a Death spell, they gain 10% Intelligence. This trait does not stack.",Sigil of the Lich
Meat Bomb,"After this creature provokes, it deals damage to all enemies equal to 50% of its missing Health. Then, it is killed.",Armored Foot
No Fear,"While your creatures are below 35% Health, they deal 100% more damage. This trait does not stack.",Builder Foot
Detonation,"After this creature Provokes, your other Maniacs are killed, and deal damage to all enemies equal to 25% of your affected creatures' Maximum Health.",Leader Foot
Bad Blood ,"After your creatures are killed, this creature afflicts enemies with Poisoned, Burning, and Bleeding.",Hunter Foot
Cannibalistic Tendencies,"After your creatures Provoke, they are killed, and your other creatures gain 20% of their Attack, Intelligence, Defense, and Speed. This trait does not stack.",Mutant Foot
Nice Haircut,"After your Maniacs are killed while it is an ally's turn, they have a 50% chance to be resurrected with 50% Health. This trait does not stack.",Warrior Foot
Loid's Laugh,"After an enemy Casts a spell, it loses 20% Intelligence and is afflicted with Silenced. This trait does not stack.",Loid's Boil
Loid's Pustulant Pimples,"After an enemy Defends or Provokes, it is afflicted with 3 random debuffs. This trait does not stack.",Loid's Hair
Loid's Visage,"After an enemy Attacks, it loses 20% Attack and is afflicted with Scorned. This trait does not stack.",Loid's Pimple
Master of Maniacs,Your Maniacs start battles with 25% more Health and 10% less Defense for each Maniac fighting on your side. This trait does not stack.,Sigil of the Maniac
Whiplash,"After this creature Attacks, it also deals damage to 2 other enemies equal to 40% of its Attack.",Conqueror Tail
The Crimson,Enemies attack as if they have 40% less Attack. This trait does not stack.,Crimson Tail
Beast Within,"After your creatures gain a stat other than Attack, they gain 50% of that stat as Attack as well. This trait does not stack.",Decimator Tail
Parry,"At the start of this creature's turn, it gains Defense equal to 50% of its Attack.",Flailing Tail
Mouth For War,"After this creature Casts a single-target spell on an enemy, it also attacks that enemy 2 times.",Martyaxwar Tail
Covert,The Timeline order is determined by your creatures' Attack rather than their Speed.,Prowling Tail
Conservation,"At the start of this creature's turn, it gains Defense equal to 30% of its highest stat.",Sabertooth Tail
Razor Hide,"After this creature is Attacked, it deals damage equal to 75% of its Attack to the enemy.",Sawback Tail
Master of Manticores,Enemies have 5% less Attack and your creatures have 15% more Attack and Defense for each Manticore fighting on your side. This trait does not stack.,Sigil of the Manticore
Under Stress,Your creatures have an independent 20% chance to dodge attacks and deal critical damage for each debuff they have. This trait does not stack.,Angler Stake
Lust For Punishment,Your creatures deal 40% more damage for each debuff they have. This trait does not stack.,Favored Stake
Redefined,"Your creatures' traits and other effects that are influenced by the number of buffs they have also count their debuffs as well, and vice versa.",Freak Stake
Purge,"At the start of your creatures' turns, each of their debuffs has a 35% chance to be removed. This trait does not stack.",Lurid Stake
Boon to Bane,"When an enemy creature would gain a buff, they have a 50% chance to gain a debuff instead. This trait does not stack.",Macabre Stake
Vendetta,This creature Attacks and Casts an additional number of times equal to the number of debuffs it has.,Sadomasochist Stake
Phlebotomize,"After this creature Defends, it removes its debuffs and heals your creatures for 50% Health for each debuff removed.",Sanguine Stake
Binary Affliction,"After this creature Attacks, it gains a random buff and afflicts its target with a random debuff.",Witch Stake
Bladedancing,"When your creatures deal critical damage, they have a 30% chance to attack the target again. This effect can repeat multiple times in a row.",Phobos' Shortsword
Butterfly Touch,"When this creature takes damage, the amount of damage taken is reduced by 15% for each creature between it and the enemy on the Timeline.",Phobos' Crest
Phobos' Grip,"When your creatures with Proficient Attack, they afflict their target with Snared.",Phobos' Unrelenting Grasp
Master of Masochists,"If all the creatures in your party are Masochists, they are resistant to debuffs and take 30% less damage from all sources. This trait does not stack.",Sigil of the Masochist
Nothing But Coal,"When this creature dies, it deals damage to enemies equal to 35% of its Attack.",Mimic Gift
Hydration,"At the start of battle, this creature gains 5 random traits.",Killer Drink
Surprise!,This creature always starts battle at the top of the Timeline.,N/A
Pandora's Box,"At the start of battle, this creature Casts 5 random spells, one from each class.",N/A
Giftwrapped Army,"At the start of battle, your Mimic creatures gain a random buff for each Mimic fighting on your side. This trait does not stack.",Kraynaks' Plank
Sad Birthday Song,"After this creature is killed, it transforms into an enemy creature.",Kraynaks' Tooth
Ultimate Trickery,"At the start of battle, this creature transforms into a copy of the second creature in your party, gains the innate trait of the third creature in your party, and gains
the fused trait of the fourth creature in your party. This creature always starts battles at the bottom of the Timeline.",Kraynaks' Tongue
Master of Mimics,"If all the creatures in your party are Mimics, they each have a 25% chance to start battles at the top of the Timeline. This trait does not stack.",Sigil of the Mimic
Resolve,"While this creature is below 50% Health, it is immune to debuffs and takes 50% less damage.",Battlemaster Plate
Seeing Red,"While your creatures are below 75% Health, they have Berserk and take 25% less damage. This trait does not stack.",Behemoth Plate
Fracture,"After this creature is Attacked, it deals 50% of the damage taken to all enemies. This damage cannot exceed 100% of your creature's Maximum Health.",Earthshaker Plate
Flesh Wound,"After this creature takes damage while below 50% Health, it gains a Barrier that absorbs damage equal to 100% of its Maximum Health.",Juggernaut Plate
Piercing Focus,This creature's attacks ignore 1% of the target's Defense for every 1% Health this creature is missing.,Lancer Plate
Rise to Fall,"After this creature Attacks, it recovers 30% Health. In addition, this creature receives 5% more healing from all sources for every 1% of Health it is missing.",Skullcrusher Plate
Blood Crazed,"After this creature is Attacked, it gains 35% Attack and recovers Health equal to 40% of the damage taken.",Warrior Plate
Master of Minotaurs,Your Minotaurs Attack 1 additional time for each Minotaur fighting on your side. Your creatures deal 50% less damage. This trait does not stack.,Sigil of the Minotaur
Cradle to the Grave,"After your creatures are killed, they have a 15% chance to resurrect with 50% Health for each dead creature on your side. This trait does not stack.",Gravedigger Goo
Corrosion,"After this creature Attacks, it afflicts the target with Blighted. If the target is already afflicted with Blighted, the target is healed for 100% of the amount of damage dealt.",Interloper Goo
Neon Grave,"After this creature Attacks, it has a 35% chance to Cast Affliction.",Invader Goo
Swell,"After this creature Attacks, it afflicts the target with a random debuff for each debuff the target already has.",Paralyzer Goo
Villainy Thrives,The potency of the enemies' Poisoned and Burning debuffs are shared with each otherf. This trait does not stack.,Plaguespreader Goo
Intensify,"After this creature Attacks, it increases the potency of the target's Poisoned and Burning debuffs by 50%.",Skirmisher Goo
Viscous Webs,Enemies take 25% more damage for each debuff they have that they're resistant to. This trait does not stack.,Webweaver Goo
Master of Mites,Your Mites have a 5% chance to avoid damage for each Mite fighting on your side. This trait does not stack.,Sigil of the Mite
